"wannabeyourspecial","2013-12-02 04:00","2013-12-27 15:00"
"touchofgold","2013-12-02 04:00","2013-12-27 15:00"
"amenootoganijiwoyobu","2013-12-02 04:00","2013-12-27 15:00"
"landingonthemoon","2013-12-27 15:00","2014-01-31 14:00"
"kimitomusic","2013-12-27 15:00","2014-01-31 14:00"
"dirtymouth","2013-12-27 15:00","2014-01-31 14:00"
"aqualight","2014-01-31 14:00","2014-03-01 04:00"
"wanyowanyo","2014-01-31 14:00","2014-03-01 04:00"
"hontonowatashi","2014-01-31 14:00","2014-03-01 04:00"
"jahacid","2014-03-01 04:00","2014-04-01 04:00"
"loveless","2014-03-01 04:00","2014-04-01 04:00"
"whatiswrongwiththeworld","2014-03-01 04:00","2014-04-01 04:00"
"mikakuninxxseimeitai","2014-04-01 04:00","2014-05-01 04:00"
"otherside","2014-04-01 04:00","2014-05-01 04:00"
"binaryoverdrive","2014-04-01 04:00","2014-05-01 04:00"
"breakdown","2014-05-01 04:00","2014-06-01 04:00"
"anomie","2014-05-01 04:00","2014-06-01 04:00"
"hi","2014-05-01 04:00","2014-06-01 04:00"
"kimitomusic","2014-06-01 04:00","2014-07-01 04:00"
"lotuslove","2014-06-01 04:00","2014-07-01 04:00"
"impact","2014-06-01 04:00","2014-07-01 04:00"
"wasteland","2014-07-01 04:00","2014-08-01 04:00"
"whenyoucallmyname","2014-07-01 04:00","2014-08-01 04:00"
"theepic","2014-07-01 04:00","2014-08-01 04:00"
"lotuslove","2014-07-01 04:00","2014-08-01 04:00"
"whenyoucallmyname","2014-08-01 04:00","2014-09-01 04:00"
"wannabeyourspecial","2014-08-01 04:00","2014-09-01 04:00"
"freakwithme","2014-08-01 04:00","2014-09-01 04:00"
"azitate","2014-08-01 04:00","2014-09-01 04:00"
"wannabeyourspecial","2014-09-01 04:00","2014-10-01 04:00"
"touchofgold","2014-09-01 04:00","2014-10-01 04:00"
"aqualight","2014-09-01 04:00","2014-10-01 04:00"
"dazzlingseason","2014-09-01 04:00","2014-10-01 04:00"
"touchofgold","2014-10-01 04:00","2014-11-01 04:00"
"amenootoganijiwoyobu","2014-10-01 04:00","2014-11-01 04:00"
"anomie","2014-10-01 04:00","2014-11-01 04:00"
"nextfrontier","2014-10-01 04:00","2014-11-01 04:00"
"amenootoganijiwoyobu","2014-11-01 04:00","2014-12-01 04:00"
"landingonthemoon","2014-11-01 04:00","2014-12-01 04:00"
"freakwithme","2014-11-01 04:00","2014-12-01 04:00"
"otherside","2014-11-01 04:00","2014-12-01 04:00"
"theepic","2014-11-01 04:00","2014-12-01 04:00"
"landingonthemoon","2014-12-01 04:00","2015-01-01 04:00"
"freakwithme","2014-12-01 04:00","2015-01-01 04:00"
"diamondskin","2014-12-01 04:00","2015-01-01 04:00"
"aerial","2014-12-01 04:00","2015-01-01 04:00"
"azitate","2014-12-01 04:00","2015-01-01 04:00"
"freakwithme","2015-01-01 04:00","2015-02-01 04:00"
"diamondskin","2015-01-01 04:00","2015-02-01 04:00"
"everkrack","2015-01-01 04:00","2015-02-01 04:00"
"aqualight","2015-01-01 04:00","2015-02-01 04:00"
"impact","2015-01-01 04:00","2015-02-01 04:00"
"diamondskin","2015-02-01 04:00","2015-03-01 04:00"
"everkrack","2015-02-01 04:00","2015-03-01 04:00"
"wanyowanyo","2015-02-01 04:00","2015-03-01 04:00"
"saigono1page","2015-02-01 04:00","2015-03-01 04:00"
"dazzlingseason","2015-02-01 04:00","2015-03-01 04:00"
"everkrack","2015-03-01 04:00","9999-12-31 04:00"
"wanyowanyo","2015-03-01 04:00","9999-12-31 04:00"
"hontonowatashi","2015-03-01 04:00","9999-12-31 04:00"
"remilkyway","2015-03-01 04:00","9999-12-31 04:00"
"giantkilling","2015-03-01 04:00","9999-12-31 04:00"
