"1","1","wannabeyourspecial","Wanna Be Your Special",,"wanna be your special",
"2","2","touchofgold","Touch Of Gold",,"touch of gold",
"3","3","amenootoganijiwoyobu","雨の音が虹を呼ぶ",,"アメノオトガニジヲヨブ",
"4","18","freakwithme","Freak With Me",,"freak with me",
"5","24","azitate","Azitate",,"azitate",
"6","33","diamondskin","DIAMOND SKIN",,"diamond skin",
"7","4","kimitomusic","キミとMUSIC",,"キミトMUSIC",
"8","5","landingonthemoon","Landing on the moon",,"landing on the moon",
"9","6","aqualight","Aqualight",,"aqualight",
"10","7","wanyowanyo","Wanyo Wanyo",,"wanyo wanyo",
"11","8","lotuslove","Lotus Love",,"lotus love",
"12","9","dirtymouth","Dirty Mouth",,"dirty mouth",
"13","10","hontonowatashi","ホントのワタシ",,"ホントノワタシ",
"14","11","jahacid","Jahacid",,"jahacid",
"15","13","whatiswrongwiththeworld","What Is Wrong With The World",,"what is wrong with the world",
"16","14","binaryoverdrive","Binary Overdrive",,"binary overdrive",
"17","15","breakdown","Break down",,"break down",
"18","16","hi","Hi",,"hi",
"19","17","otherside","Otherside",,"otherside",
"20","20","loveless","Loveless",,"loveless",
"21","21","giantkilling","Giant Killing",,"giant killing",
"22","22","theepic","The Epic",,"the epic",
"23","23","anomie","Anomie",,"anomie",
"24","28","dazzlingseason","DAZZLING&#x2661;SEASON",,"dazzling season",
"25","29","nextfrontier","NEXT FRONTIER",,"next frontier",
"26","19","mikakuninxxseimeitai","未確認XX生命体",,"ミカクニンxxセイメイタイ",
"27","25","impact","Impact",,"impact",
"28","32","dynamitesensation","DYNAMITE SENSATION",,"dynamite sensation",
"29","30","azitateprologue","Azitate","(Prologue Edition)","azitate prologue",
"30","31","landingonthemooninst","Landing on the moon","(Instrumental Version)","landing on the moon inst",
"31","38","eternally","Eternally",,"eternally",
"32","34","everkrack","everKrack",,"everkrack",
"33","35","yuwaku","誘惑",,"ユウワク",
"34","37","winteragain","Winter, again",,"winter again",
"35","36","justicefromguilty","JUSTICE [from] GUILTY",,"justice from guilty",
"36","12","breakyourworld","Break Your World",,"break your world",
"37","26","saigono1page","最後の1ページ",,"サイゴノ1ページ",
"38","27","crossangel","Cross+Angel",,"crossangel",
"39","39","aerial","エアリアル",,"エアリアル",
"40","48","anotherchance","Another Chance",,"another chance",
"41","42","sundrop","Sundrop",,"sundrop",
"42","43","childrenautomaton","チルドレン・オートマトン","～ある歌声の亡霊～","チルドレンオートマトン",
